district_code,district_name,total_schools_reported,toilet_gap,library_gap,computer_gap,internet_gap,infra_gap_score
2927,CHAMARAJANAGARA,2428,0.0049423393739703725,0.023887973640856708,0.8434925864909391,0.8591433278418451,0.4328665568369028
2934,UTTARA KANNADA SIRSI,2778,0.003599712023038104,0.06335493160547156,0.6198704103671706,0.8833693304535637,0.39254859611231097
2933,YADAGIRI,3194,0.019411396368190337,0.10018785222291793,0.5115842204132749,0.862867877269881,0.37351283656856604
2929,CHIKKABALLAPURA,4198,0.0023820867079561436,0.05002382086707957,0.554073368270605,0.857551214864221,0.36600762267746545
2931,TUMAKURU MADHUGIRI,3384,0.0076832151300236795,0.024231678486997588,0.5354609929078014,0.8953900709219859,0.36569148936170215
2919,KOLAR,5042,0.0,0.07497024990083301,0.5660452201507338,0.8088060293534312,0.36245537485124946
2923,HASSAN,6472,0.0015451174289246028,0.05284301606922126,0.5682941903584673,0.823238566131026,0.3614802224969098
2913,CHITRADURGA,4982,0.008028904054596553,0.05820955439582498,0.5262946607788037,0.8406262545162585,0.35828984343637094
2905,BIDAR,5690,0.00035149384885768686,0.15219683655536032,0.4773286467486819,0.7954305799648507,0.3563268892794377
2917,CHIKKAMANGALURU,3890,0.0005141388174807471,0.059125964010282805,0.532133676092545,0.8149100257069408,0.35167095115681235
2904,KALBURGI,8158,0.014464329492522632,0.14856582495709736,0.5101740622701643,0.7327776415788183,0.35149546457465064
2907,KOPPAL,3452,0.02085747392815762,0.06373117033603704,0.5040556199304751,0.8111239860950173,0.3499420625724218
2910,UTTARA KANNADA,2506,0.0,0.03910614525139666,0.509976057462091,0.8411811652035116,0.3475658419792498
2908,GADAG,2442,0.003276003276003303,0.05896805896805901,0.3251433251433251,1.0,0.34684684684684686
2915,SHIVAMOGGA,5606,0.0,0.08954691402069215,0.4826971102390296,0.8119871566179093,0.34605779521940777
2932,RAMANAGARA,3548,0.003945885005636973,0.03833145434047347,0.5259301014656144,0.814543404735062,0.34568771138669674
2906,RAICHUR,5102,0.0015680125441003279,0.11760094080752648,0.48020384163073304,0.7722461779694237,0.3429047432379459
2922,MANDYA,4938,0.0,0.04779262859457267,0.5014175779667882,0.8149048197650871,0.341028756581612
2930,BELAGAVI CHIKKODI,6276,0.014659018483110242,0.053218610579987224,0.5060548119821542,0.7782026768642447,0.3380337794773741
2921,BENGALURU RURAL,3050,0.0,0.041967213114754154,0.5508196721311476,0.7527868852459016,0.33639344262295084
2918,TUMAKURU,5922,0.0006754474839580915,0.049645390070921946,0.4984802431610942,0.7943262411347518,0.3357818304626815
2911,HAVERI,4024,0.013916500994035741,0.02137176938369778,0.44483101391650104,0.8598409542743539,0.3349900596421471
2926,MYSURU,6612,0.00423472474289166,0.047791893526920703,0.49304295220810646,0.764367816091954,0.32735934664246824
2912,BALLARI,6186,0.0,0.11121888134497249,0.4170708050436469,0.748464274167475,0.3191884901390236
2901,BELAGAVI,4852,0.0,0.08779884583676834,0.40849134377576257,0.765045342126958,0.3153338829348722
2903,VIJAYAPURA,7082,0.00818977689918099,0.15024004518497602,0.37701214346229883,0.7238068342276194,0.31481219994351883
2914,DAVANAGERE,4250,0.0032941176470587807,0.030588235294117694,0.4301176470588235,0.7835294117647059,0.3118823529411765
2902,BAGALKOT,4768,0.003355704697986628,0.0776006711409396,0.415268456375839,0.7508389261744967,0.31176593959731547
2925,KODAGU,1316,0.003039513677811523,0.00911854103343468,0.3829787234042553,0.7142857142857143,0.2773556231003039
2909,DHARWAD,3366,0.0035650623885917776,0.083184789067142,0.3380867498514557,0.6726084373143197,0.2743612596553773
2916,UDUPI,2370,0.0016877637130802148,0.036286919831223674,0.31898734177215193,0.7333333333333334,0.2725738396624473
2924,DAKSHINA KANNADA,4068,0.0,0.0,0.28564405113077684,0.6012782694198624,0.2217305801376598
2928,BENGALURU U NORTH,5190,0.0003853564547205979,0.06050096339113675,0.21502890173410405,0.4300578034682081,0.17649325626204238
2920,BENGALURU U SOUTH,7190,0.0027816411682892728,0.05424200278164115,0.1833101529902642,0.3515994436717663,0.14798331015299024
