schcd,schname,school_cat,management,rururb,dtname,longitude,latitude
29200143608,Vedantha Pu College,Higher Secondary only/Jr. College,Private Unaided (Recognized),2,Bengaluru U South,77.931,13.496
29170805019,Glps Chikkalagatta,Primary,Department of Education,1,Chikkamangaluru,75.890833,13.496111
29290502101,Glps Belathur,Primary,Department of Education,1,Chikkaballapura,77.540278,13.496111
29290325201,Glps Honnagiriyappanahalli,Primary,Department of Education,1,Chikkaballapura,77.727222,13.496389
29170805002,G.H.P.S.  Y.Siddarahalli,Primary with Upper Primary,Department of Education,1,Chikkamangaluru,75.858056,13.496667
29160100102,Glps Belanje,Primary,Department of Education,1,Udupi,74.9663,13.4968
29290308501,Glps Gollu Chinnappanahalli,Primary,Department of Education,1,Chikkaballapura,77.823889,13.496944
29291118701,Glps  Marihalli,Primary,Department of Education,1,Chikkaballapura,77.908333,13.496944
29170304701,Glps  Davana,Primary,Department of Education,1,Chikkamangaluru,75.452,13.497
29180107902,Ghps Thimmalapura Tandya,Primary with Upper Primary,Department of Education,1,Tumakuru,76.521,13.497
29230522801,Govt.Lower Primary School Nadanahally,Primary,Department of Education,1,Hassan,76.551,13.497
29310308203,Govt High  School Jettyi Agrahara,Secondary Only,Department of Education,1,Tumakuru Madhugiri,77.2,13.497
29191200502,Guhps Urdu Addagal,Primary with Upper Primary,Department of Education,1,Kolar,78.218598,13.497036
29230712701,Govt Lower Primary School H Dyavalapura,Primary,Department of Education,1,Hassan,76.275833,13.49722
29290306401,Ghps Devasthanahosahalli,Primary with Upper Primary,Department of Education,1,Chikkaballapura,77.761389,13.497222
29020610601,Govt-  Higher Primary School Nagaral Lt,Primary with Upper Primary,Department of Education,1,Bagalkot,75.861565,13.497472
29160505503,Ghps Yadthadi  576210,Primary with Upper Primary,Department of Education,1,Udupi,74.771667,13.4975
